uid,username,followers_count,category_tid,category_name,last_video_date,video_count_12m,content_type,collected_at,source,data_quality
100001,动画UP_001,202349,1,动画,2025-06-13,140,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100002,动画UP_002,39225,1,动画,2025-03-20,147,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100003,动画UP_003,54405,1,动画,2025-10-08,88,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100004,动画UP_004,57188,1,动画,2025-05-17,76,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100005,动画UP_005,101377,1,动画,2024-12-27,98,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100006,动画UP_006,125896,1,动画,2025-07-19,147,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100007,动画UP_007,164928,1,动画,2025-09-08,127,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100008,动画UP_008,92093,1,动画,2025-11-01,150,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100009,动画UP_009,53192,1,动画,2025-10-24,154,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100010,动画UP_010,64765,1,动画,2025-08-08,130,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100011,动画UP_011,363158,1,动画,2025-01-25,163,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100012,动画UP_012,100735,1,动画,2025-02-20,14,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100013,动画UP_013,19020,1,动画,2025-07-29,134,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100014,动画UP_014,18859,1,动画,2025-03-08,64,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100015,动画UP_015,66755,1,动画,2025-05-02,163,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100016,动画UP_016,71587,1,动画,2025-10-01,37,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100017,动画UP_017,10685,1,动画,2024-11-28,51,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100018,动画UP_018,160984,1,动画,2025-06-22,119,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100019,动画UP_019,32118,1,动画,2025-02-28,56,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100020,动画UP_020,136233,1,动画,2025-04-17,74,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100021,动画UP_021,85111,1,动画,2025-03-21,184,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100022,动画UP_022,152948,1,动画,2025-01-18,64,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100023,动画UP_023,62759,1,动画,2025-07-06,83,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100024,动画UP_024,69801,1,动画,2025-02-05,130,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100025,动画UP_025,52954,1,动画,2025-07-11,27,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100026,动画UP_026,80186,1,动画,2024-12-31,158,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100027,动画UP_027,36526,1,动画,2024-11-30,17,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100028,动画UP_028,9036,1,动画,2025-01-27,160,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100029,动画UP_029,36798,1,动画,2025-08-24,138,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100030,动画UP_030,231612,1,动画,2024-11-29,191,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100031,动画UP_031,21087,1,动画,2025-09-26,91,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100032,动画UP_032,86627,1,动画,2025-05-04,200,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100033,动画UP_033,23635,1,动画,2025-06-27,198,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100034,动画UP_034,25495,1,动画,2025-10-16,190,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100035,动画UP_035,196319,1,动画,2025-09-13,146,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100036,动画UP_036,158228,1,动画,2025-09-02,27,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100037,动画UP_037,239618,1,动画,2025-03-11,130,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100038,动画UP_038,15414,1,动画,2025-01-09,70,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100039,动画UP_039,352485,1,动画,2025-09-06,106,动画创作,2025-11-05 15:19:23,模拟数据,simulated
